,product_id,category,range_type,brand,brand_tier,width_inches,height_inches,depth_inches,burners,finish,features,price,rating
0,RNG-18368,range,induction,Bosch,premium,30,36,31,5,Black,"['Smart enabled', 'Air Fry', 'Self Clean']",4460,4.4
1,RNG-90844,range,dual fuel,KitchenAid,premium,36,36,31,4,White,"['Smart enabled', 'WiFi', 'Steam Clean', 'Convection', 'Self Clean']",7960,3.9
2,RNG-83719,range,dual fuel,Cafe,premium,36,39,26,4,Black,"['Steam Clean', 'Smart enabled']",6550,4.4
3,RNG-64171,range,induction,Samsung,mainstream,30,36,29,4,Black,"['Smart enabled', 'Air Fry', 'Steam Clean']",2950,4.3
4,RNG-09976,range,dual fuel,Monogram,luxury,36,39,29,4,White,"['Self Clean', 'Smart enabled', 'Griddle', 'Convection', 'Steam Clean', 'WiFi', 'Air Fry']",13280,4.6
5,RNG-06836,range,electric,Whirlpool,budget,30,38,27,6,Black Stainless,"['Griddle', 'Air Fry', 'Smart enabled']",1900,4.1
6,RNG-74663,range,gas,KitchenAid,premium,30,36,30,4,Black Stainless,"['Smart enabled', 'Griddle', 'WiFi']",3290,4.1
7,RNG-99750,range,induction,Miele,luxury,36,36,26,6,Black,"['WiFi', 'Steam Clean', 'Self Clean', 'Smart enabled', 'Air Fry', 'Convection']",10710,4.2
8,RNG-44330,range,gas,Wolf,luxury,30,36,30,4,Stainless Steel,"['Griddle', 'Smart enabled', 'Steam Clean', 'Convection', 'Self Clean']",5490,3.8
9,RNG-57747,range,gas,Samsung,mainstream,30,36,31,5,Black,"['Griddle', 'WiFi']",2360,4.3
10,RNG-54432,range,induction,Cafe,premium,30,38,26,6,Stainless Steel,"['Air Fry', 'Self Clean', 'Griddle', 'Smart enabled']",5020,4.4
11,RNG-96017,range,induction,Miele,luxury,48,42,25,4,White,"['Air Fry', 'Steam Clean', 'Convection', 'Griddle', 'Self Clean']",13320,4.2
12,RNG-43942,range,induction,GE,mainstream,30,36,28,5,Black,"['Steam Clean', 'Griddle', 'Smart enabled', 'Air Fry']",3660,3.7
13,RNG-75814,range,dual fuel,Monogram,luxury,48,35,31,6,Black Stainless,"['WiFi', 'Convection', 'Smart enabled', 'Self Clean', 'Air Fry']",20420,3.7
14,RNG-61432,range,induction,Bosch,premium,36,36,29,6,Black,"['Air Fry', 'Self Clean', 'Steam Clean']",7030,4.0
15,RNG-16927,range,electric,LG,mainstream,30,36,27,4,Stainless Steel,"['Convection', 'Smart enabled']",1670,3.9
16,RNG-22696,range,induction,Samsung,mainstream,36,36,30,5,Black Stainless,"['Smart enabled', 'Air Fry', 'Convection', 'Steam Clean']",4110,4.3
17,RNG-44861,range,induction,Bosch,premium,48,40,30,5,White,"['Smart enabled', 'Air Fry', 'Steam Clean', 'WiFi']",9150,4.3
18,RNG-43194,range,dual fuel,Wolf,luxury,60,36,27,6,White,"['Self Clean', 'Griddle', 'WiFi', 'Air Fry']",30280,4.0
19,RNG-83563,range,induction,Fisher & Paykel,luxury,36,36,30,6,Black Stainless,"['Self Clean', 'Steam Clean', 'Convection', 'Griddle', 'WiFi', 'Air Fry']",12220,4.2
20,RNG-04024,range,induction,Samsung,mainstream,30,36,31,5,Stainless Steel,"['WiFi', 'Griddle', 'Steam Clean', 'Smart enabled']",3910,4.2
21,RNG-38543,range,dual fuel,KitchenAid,premium,36,36,26,6,Stainless Steel,"['Steam Clean', 'Convection', 'Air Fry', 'Smart enabled', 'Griddle']",8010,4.4
22,RNG-72633,range,electric,Bosch,premium,30,35,29,5,Black Stainless,"['Smart enabled', 'Convection']",2210,4.1
23,RNG-39723,range,electric,Samsung,mainstream,36,36,28,4,Stainless Steel,"['Air Fry', 'Steam Clean', 'Griddle']",2380,4.3
24,RNG-61732,range,electric,Bosch,premium,36,36,31,5,Stainless Steel,"['WiFi', 'Smart enabled']",3090,4.2
25,RNG-14565,range,induction,Bosch,premium,48,39,31,6,Black,"['Self Clean', 'Convection', 'Smart enabled']",10640,4.0
26,RNG-00183,range,induction,Samsung,mainstream,30,40,27,5,White,"['Self Clean', 'Air Fry', 'Griddle']",3530,4.4
27,RNG-18619,range,electric,Samsung,mainstream,30,36,31,6,White,"['Smart enabled', 'WiFi']",1930,3.8
28,RNG-01853,range,dual fuel,Cafe,premium,30,36,29,4,Black Stainless,"['Convection', 'Air Fry']",5400,4.1
29,RNG-82939,range,dual fuel,Monogram,luxury,30,42,31,6,White,"['WiFi', 'Griddle', 'Air Fry', 'Self Clean', 'Steam Clean', 'Smart enabled']",13210,4.6
30,RNG-76193,range,electric,Samsung,mainstream,24,36,31,6,Black,"['Convection', 'WiFi', 'Griddle', 'Smart enabled']",1810,4.5
31,RNG-44224,range,electric,GE,mainstream,30,35,29,5,Black Stainless,"['Air Fry', 'Convection']",1730,4.1
32,RNG-91430,range,induction,GE,mainstream,30,36,31,4,Black Stainless,"['Convection', 'Self Clean']",3320,4.6
33,RNG-78624,range,electric,Samsung,mainstream,30,39,31,5,Black Stainless,"['Steam Clean', 'Griddle', 'Convection', 'Self Clean']",2040,4.1
34,RNG-05034,range,dual fuel,Thermador,luxury,36,40,29,4,Black,"['Steam Clean', 'WiFi', 'Air Fry', 'Convection']",13760,3.7
35,RNG-44568,range,dual fuel,Monogram,luxury,36,35,28,4,White,"['Air Fry', 'Convection', 'Self Clean', 'Steam Clean']",11490,4.4
36,RNG-82969,range,electric,Frigidaire,budget,30,37,31,5,Black Stainless,['WiFi'],1540,4.3
37,RNG-36180,range,induction,Bosch,premium,48,36,27,6,White,"['WiFi', 'Steam Clean', 'Self Clean', 'Air Fry']",9010,4.6
38,RNG-18225,range,dual fuel,Wolf,luxury,60,38,30,6,Stainless Steel,"['Convection', 'Steam Clean', 'Self Clean', 'WiFi', 'Smart enabled', 'Air Fry', 'Griddle']",33290,4.2
39,RNG-17947,range,induction,Cafe,premium,30,40,31,6,Stainless Steel,"['Self Clean', 'Convection']",5540,3.8
40,RNG-29571,range,electric,LG,mainstream,36,38,27,5,White,"['Self Clean', 'Convection', 'Griddle', 'WiFi']",2290,4.5
41,RNG-03734,range,induction,GE,mainstream,30,42,28,5,White,"['WiFi', 'Air Fry', 'Self Clean', 'Smart enabled']",3240,4.4
42,RNG-35600,range,induction,GE,mainstream,24,39,31,6,White,"['Smart enabled', 'Convection', 'Steam Clean', 'Air Fry']",3730,4.4
43,RNG-56677,range,induction,GE,mainstream,30,36,29,4,Stainless Steel,"['Steam Clean', 'Smart enabled']",2660,4.7
44,RNG-97513,range,gas,Whirlpool,budget,30,46,28,5,Black,"['Self Clean', 'Smart enabled', 'Convection']",2290,4.1
45,RNG-12673,range,induction,Samsung,mainstream,30,37,29,6,Stainless Steel,"['Steam Clean', 'Air Fry', 'Self Clean', 'Smart enabled']",3620,4.1
46,RNG-13866,range,gas,KitchenAid,premium,36,37,26,4,Black,"['Smart enabled', 'Self Clean', 'Griddle']",3880,3.9
47,RNG-69508,range,induction,GE,mainstream,30,36,30,6,White,"['Griddle', 'Self Clean', 'WiFi']",3380,4.3
48,RNG-58019,range,dual fuel,Thermador,luxury,36,36,28,4,White,"['Griddle', 'WiFi', 'Smart enabled', 'Self Clean', 'Steam Clean']",13030,4.1
49,RNG-87823,range,dual fuel,Thermador,luxury,36,35,25,4,Stainless Steel,"['Griddle', 'WiFi', 'Convection', 'Air Fry', 'Steam Clean', 'Smart enabled', 'Self Clean']",10340,4.2
50,RNG-71417,range,induction,Miele,luxury,48,36,27,5,White,"['Steam Clean', 'WiFi', 'Smart enabled', 'Self Clean', 'Griddle']",13280,4.3
51,RNG-50080,range,dual fuel,Thermador,luxury,36,36,31,4,Black,"['Convection', 'Steam Clean', 'Air Fry', 'Self Clean', 'Smart enabled', 'Griddle']",13910,3.9
52,RNG-00945,range,electric,Samsung,mainstream,30,36,28,5,Black,"['Air Fry', 'Steam Clean', 'Self Clean', 'WiFi']",2170,4.5
53,RNG-53130,range,electric,Samsung,mainstream,30,39,28,5,White,"['Smart enabled', 'Steam Clean', 'Self Clean', 'WiFi']",1850,3.5
54,RNG-79889,range,induction,Cafe,premium,36,36,25,5,Black,"['Smart enabled', 'Air Fry', 'Steam Clean']",4870,4.6
55,RNG-46833,range,induction,Miele,luxury,48,36,30,6,Black,"['Self Clean', 'WiFi', 'Convection', 'Steam Clean', 'Griddle', 'Air Fry']",17380,4.3
56,RNG-16943,range,gas,GE,mainstream,30,36,31,4,Black Stainless,"['Air Fry', 'WiFi', 'Convection', 'Self Clean']",2570,3.5
57,RNG-21367,range,dual fuel,Thermador,luxury,36,35,30,5,Black Stainless,"['Smart enabled', 'Convection', 'Air Fry', 'Self Clean']",12690,3.8
58,RNG-82827,range,induction,GE,mainstream,30,35,25,5,Black Stainless,"['Smart enabled', 'Self Clean', 'Griddle', 'Convection']",3320,3.9
59,RNG-53591,range,gas,Frigidaire,budget,24,39,31,5,Black Stainless,"['Air Fry', 'Smart enabled', 'Steam Clean']",1890,4.4
60,RNG-36735,range,induction,Bosch,premium,36,38,27,5,Black,"['Self Clean', 'Steam Clean', 'Smart enabled', 'WiFi', 'Air Fry']",5760,4.4
61,RNG-43137,range,induction,GE,mainstream,30,39,30,5,Black,"['Smart enabled', 'WiFi']",3470,4.3
62,RNG-69537,range,induction,Miele,luxury,36,36,26,6,Black Stainless,"['Self Clean', 'Air Fry', 'Smart enabled', 'Convection', 'WiFi', 'Steam Clean', 'Griddle']",10190,3.7
63,RNG-61390,range,dual fuel,Thermador,luxury,48,36,25,4,Black,"['Griddle', 'Self Clean', 'WiFi', 'Air Fry', 'Smart enabled']",18290,4.4
64,RNG-81727,range,induction,GE,mainstream,30,38,26,6,Black,"['WiFi', 'Self Clean']",3140,4.3
65,RNG-69217,range,dual fuel,Monogram,luxury,36,37,27,6,Black Stainless,"['Griddle', 'Smart enabled', 'Self Clean', 'Convection', 'Steam Clean']",12630,3.9
66,RNG-11230,range,dual fuel,KitchenAid,premium,36,35,25,4,White,"['Convection', 'Smart enabled']",6530,4.3
67,RNG-85839,range,electric,LG,mainstream,30,40,26,4,Stainless Steel,"['Griddle', 'Steam Clean']",1440,4.2
68,RNG-42884,range,gas,Whirlpool,budget,30,36,31,5,Stainless Steel,['Griddle'],1830,4.2
69,RNG-48989,range,electric,GE,mainstream,30,35,31,5,Stainless Steel,"['Smart enabled', 'Griddle', 'Self Clean']",1750,4.5
